Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      40 ita 23  1  1  1 30  60 100 100 100  19   0 1589   0  77  33   0   0   0   0   0   6   0   0 100
Neto          28 bra 20  1  1  1 30 723 100 100 100  10   3  817   0  42  26   0   0   0   0   0   0   0   0 100
Mats_Hummels  29 ger  1 23  2  2 30  79 516 352 261  19   2 1397   0   0   0  21   1   0   0   0   0   0   0 100
G_Chiellini   33 ita  1 23  2  2 30 110  27 345 390  16   3 1248   0   0   0  17   2   3   0   1   6   0   0 100
A_Barzagli    36 ita  1 21  2  2 30 100 772 389 453  17   1 1478   1   0   0  23   5   3   0   1   2   0   0  88
Iván_Marcano  30 esp  1 21  2  2 30 100 613 259 426  16   1 1438   0   0   0  23   3   5   1   0   6   0   0 100
D_Rugani      23 ita  1 21  2  2 30 111 527 386 288  20   6 1553   1   2   3  18   4   0   0   2   1   0   0 100
V_Lindelöf    23 swe  1 21  2  2 30 100 440 314 328  19   5 1320   0   0   0  20   2   4   1   0  12   0   0  88
E_Garay       31 arg  1 21  1  1 30 100 409 778 696  17   3 1265   0   0   0  13   0   3   0   0   1   0   0  94
Sami_Khedira  30 ger  1 20 22  2 30 100 137 969 357  17   2 1444   0   0   0  12  28   2   0   3   2   0   0 100
Luiz_Gustavo  30 bra  1 19 21  2 30 100 927 618 860  18   6 1289   0   0   0  13  30   4   2   6   2   0   0  94
M_Llorente    23 esp  1 17 20  3 30 100 664 779 521  10   0  920   0   0   0   6  12   2   0   2   1   0   0  94
C_Marchisio   32 ita  1 14 23  8 30 128 674 176 679  18   1 1348   0   4   5   6  25   5   0   1   5   0   0 100
Cesc_Fàbregas 30 esp  1  8 22 13 30 100 738 549 460  17   0 1516   2   0   0   3  40  25   7   1   1   0   0 100
Adrien_Rabiot 22 fra  1 13 22  8 30 100 717 376 673  19   4 1519   1   0   0  11  23   8   0   3   1   0   0  88
Pizzi         28 por  1  7 21 14 30 100 239 678 530  15   3 1229   0   0   0   3  24   8   0   3   2   0   0  88
David_Silva   32 esp  1  2 23 21 30 100 264 458 610  16   0 1515   3   0   0   0  27  33   5   2   1   0   0 100
A_Schürrle    27 ger  1  2 21 20 30 100 367 623 500  15   1 1278   2   0   0   0  19  39   9   1   2   0   0  94
G_Martins     22 por  1  2 21 19 30 100 253 188 940  18   7 1269   0   0   0   1  16  23   3   2   2   0   0  94
Amine_Harit   21 mar  1  3 20 17 30 100 350 554 343   8   1  698   0   0   0   2   8  17   0   0   1   0   0 100
Arjen_Robben  34 ned  1  2 20 24 30 100 401 748 672  18   1 1403   1   0   0   0  10  70  13   1   9   0   0 100
Álvaro_Morata 25 esp  1  2  2 22 30 100 266 345 598  18   3 1378   1   0   0   1   4  43   8   0   0   0   0 100
K_Coman       21 fra  1  2 18 22 30 100  70 443 233  17   6 1113   1   0   0   0   6  40   6   0   1   0   0  88
