Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jack_Butland  25 eng 21  1  1  1 30 565 100 100 100  26   0 2241   0  91  21   0   0   0   0   0  10   0   0 100
Miguel_Vargas 22 chi 17  1  1  1 30 430 100 100 100   6   3  528   0  17   7   0   0   0   0   0   0   0   0 100
Álvaro_Ogalde 21 chi 17  1  1  1 30 330 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Voboril     31 arg  1 19 11  7 30 100 549 408 296  17   2 1302   1   0   0  22  11   9   0   2   3   0   0  94
JP_Fuenzalida 33 chi  1 19 15 10 30 100 247 456 385  18   3 1465   0   0   0  22  18  11   2   2   2   0   0  94
S_Magnasco    26 chi  1 19 11  6 30 100 135 338 361  15   2 1224   1   0   0  15   9   6   2   0   5   0   0  94
Fer_Cordero   31 chi  1 18 11  6 30 100 574 396 290  21   7 1526   1   0   0  20  10   4   0   2   3   0   0  94
B_Kuscevic    22 chi  1 18  1  1 30 100 117 272 263  15   1 1277   0   0   0  21   2   1   0   0   6   0   0 100
B_Ampuero     25 chi  1 18  1  1 30 100 108 262 267  14   0 1305   1   0   0  16   0   1   0   0   4   0   0 100
Rai_Rebolledo 21 chi  1 18 10  6 30 100  74 349 317  15   2 1277   2   0   0  16  12   4   1   0   0   0   0 100
Y_Oyanedel    18 chi  1 17 10  6 30 100 504 361 274  17   2 1423   2   0   0  13   7   4   0   2   6   0   0 100
César_Fuentes 25 chi  1 16 18  2 30 100 381 606 293  16   0 1294   0   0   0   7  21   3   0   1   0   0   0 100
I_Saavedra    19 chi  1 15 17  2 30 100 498 435 294  16   3 1171   0   0   0  15  11   2   0   1   1   0   0 100
Luciano_Aued  31 arg  1 12 19 11 30 100 356 575 287  15   0 1252   1   0   0   5  26   8   0   4   7   0   0  94
Carlos_Lobos  21 chi  1 10 18 11 30 100 334 444 367  18   6 1306   0   0   0   3  14  12   2   1   4   0   0 100
Jaime_Carreño 21 chi  1 10 18 10 30 100 304 442 280  14   1 1286   0   0   0   2  18   6   0   0   2   0   0 100
D_Buonanotte  30 arg  1  2 19 17 30 100 283 895 387  17   3 1358   1   0   0   1  29  20   3   2   7   0   0  94
Mark_González 33 chi  1  2 19 16 30 100 820 749 921  20   3 1504   0   0   0   3  25  26   4   4   1   0   0  94
Diego_Rojas   23 chi  1  3 18 15 30 100 328 786 344  10   2  843   0   0   0   2  13  13   1   1   2   0   0 100
M_Bolados     22 chi  1  2 18 16 30 100 283 560 330  15   5  935   0   0   0   0  11   9   1   0   1   0   0 100
E_Paredes     37 chi  1  2  2 19 30 100 743 799 497  23   1 1563   5   0   0   0   1  24  10   0   9   0   0  94
A_Vilches     26 chi  1  1  1 19 30 100 312 256 195  24  10 1632   0   0   0   2   0  34   9   0   2   0   0 100
David_Llanos  29 chi  1  1  1 19 30 100 268 268 143  23   6 1687   1   0   0   0   0  25   5   0   6   0   0 100
D_Henríquez   19 chi  1  1  1 17 30 100 273 273 593   8   2  662   0   0   0   0   0   8   2   0   1   0   0 100
