Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sean_Johnson  29 usa 18  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brad_Stuver   27 usa 17  1  1  1 30 750 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jeff_Caldwell 22 usa 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Tinnerholm  27 swe  1 19 11  7 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxime_Chanot 29 lux  1 19  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Abdul-Salaam  27 usa  1 18 11  6 30 100 850 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Hountondji  24 ben  1 18  1  1 30 100 700 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Matarrita   24 crc  1 18 11  6 30 100 650 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Callens     26 per  1 18  1  1 30 100 250 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Ibeagha     26 usa  1 17  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Sweat     27 usa  1 17 10  6 30 100 250 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bradley     31 usa  1 17 20  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Herrera     20 ven  1 16 18  2 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Sands   18 usa  1 15 17  2 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Ring     27 fin  1 10 19 10 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kwame_Awuah   23 can  1 10 17 10 30 100 100 250 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxi_Moralez  31 arg  1  1 19 16 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jesús_Medina  21 par  1  1 19 16 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_McNamara    27 usa  1  1 18 17 30 100 100 500 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Villa   37 esp  1  1  1 21 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JoInge_Berget 28 nor  1  1  1 19 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Wallace     30 crc  1  1 17 18 30 100 100 100 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
TajouriShradi 24 lby  1  1 16 18 30 100 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Lewis       21 usa  1  1 15 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
