Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Weverton      31 bra 20  1  1  1 30 472 100 100 100  23   0 2133   0  70  29   0   0   0   0   0   2   0   0 100
Júlio_César   39 bra 19  1  1  1 30 959 100 100 100   7   1  634   0  49  23   0   0   0   0   0   2   0   0 100
G_Batista     20 bra 17  1  1  1 30 730 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Naldo         35 bra  1 20  1  1 30 100 519 724 687  18   0 1090   0   0   0   8   1   1   0   0   7   0   0  91
Réver         33 bra  1 19  1  1 30 100 971 271 288  16   0 1349   1   0   0  20   0   5   0   0   7   0   0  82
G_Siqueira    31 bra  1 19 12  5 30 100 802  63 845  15   0 1193   0   0   0  10  10  10   0   0   6   0   0  82
Rhodolfo      32 bra  1 19  1  1 30 100 733 290 285  15   0 1387   0   0   0  11   1   2   0   0   1   0   0  84
Renê          26 bra  1 19 11  7 30 100 718 365 386  15   0 1424   2   0   0  21  11   8   2   0   1   0   0  76
Pará          32 bra  1 19 11  7 30 100 588 457 319  16   3 1383   2   0   0  10  13  11   0   3   1   0   0  84
Miguel_Trauco 26 per  1 19 11  6 30 100  81 342 272  18   5 1348   0   0   0  11  11   3   0   0   5   0   0  76
Rodinei       26 bra  1 18 11  6 30 100 589 368 324  20  13 1110   0   0   0   9  14   6   1   0   5   0   0  98
Willian_Arão  26 bra  1 17 20  2 30 100 504  56 288  16   1 1472   0   0   0  18  32   1   0   3   1   0   0  76
G_Cuéllar     26 col  1 17 20  2 30 100 534  29 252  17   3 1420   0   0   0  24  25   1   0   6   2   0   0 100
Rômulo        28 bra  1 16 19  3 30 100 362 595 259  19   8 1212   0   0   0   8  17   1   0   1   6   0   0  88
Jonas         27 bra  1 16 19  2 30 100 328  46 300  17  12  748   1   0   0   6  11   2   1   1   5   0   0  88
Jean_Lucas    20 bra  1 15 17  2 30 100 302 509 305   7   5  317   0   0   0   3   7   1   1   0   5   0   0 100
Ronaldo       22 bra  1 15 17  2 30 100 282 418 268   3   2  164   0   0   0   1   0   0   0   0   1   0   0 100
R_Augusto     30 bra  1  7 21 14 30 100 763 376 969  18   0 1329   0   0   0   1  28  12   3   2   3   0   0  86
Jajá          23 bra  1 10 18 11 30 100 334 789 277  16   1 1250   0   0   0   4  16  11   0   1   6   0   0  90
É_Ribeiro     29 bra  1  2 20 18 30 100 332 645 592  17   2 1473   2   0   0   2  19  38   8   2   1   0   0  80
Diego         33 bra  1  1 20 18 30 100 266  43 446  13   1 1184   1   0   0   0  11  24   4   0   2   0   0  82
Ederson       32 bra  1  2 19 17 30 100 268 581 374  10   2  834   1   0   0   0  11  16   2   2   1   0   0  88
Lucas_Paquetá 21 bra  1  1 19 18 30 100 306 495 430  10   5  642   1   0   0   1   7  20   4   1   1   0   0  88
A_Pato        28 bra  1  1  1 20 30 100 261 261 561  15   0 1362   0   0   0   0   0  34   5   0   2   0   0  94
H_Dourado     29 bra  1  1  1 19 30 100 266 266 924  14   1 1145   1   0   0   0   0  11   1   0   2   0   0 100
Vinícius_Jr   18 bra  1  1 17 19 30 100 279 417 752  19   3 1395   1   0   0   0  14  36   5   2   3   0   0  80
Marlos_Moreno 22 col  1  1 16 18 30 100 279 335 580  18   5 1076   0   0   0   0   5  19   3   1   3   0   0  88
