Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
N_Navarro     32 arg 20  1  1  1 30  88 100 100 100  26   0 2399   1 134  53   0   0   0   0   0   0   0   0 100
S_Torrico     37 arg 19  1  1  1 30 160 100 100 100   5   1  445   0  32   9   0   0   0   0   0   0   0   0 100
José_Devecchi 22 arg 17  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Rguez 32 arg  1 20  1  1 30 100 968 322 294  21   1 1944   0   0   0  29   5   3   0   0   4   0   0 100
Paulo_Díaz    23 chi  1 20  1  1 30 100 161 259 267  21   0 1909   0   0   0  32   1   2   0   0   4   0   0  83
M_Caruzzo     33 arg  1 19  1  1 30 100 884 322 295  16   2 1319   0   0   0   9   4   1   0   0   3   0   0 100
F_Coloccini   35 arg  1 19  1  1 30 100 567 274 314  20   0 1766   0   0   0  25   1   2   1   0  14   0   0  82
M_Angeleri    34 arg  1 19  1  1 30 100 276 312 295  16   3 1303   0   0   0  27   4   3   0   0   8   0   0 100
Gabriel_Rojas 20 arg  1 19 11  6 30 100   6 456 348  14   1 1180   1   0   0  20  22  11   1   1   7   0   0  79
V_Salazar     24 arg  1 18 11  6 30 100 927 312 281  14   0 1276   0   0   0  14   7   5   0   0   1   0   0  79
Marcos_Senesi 20 arg  1 18  1  1 30 100 465 300 300   4   1  331   0   0   0   5   0   0   0   0   0   0   0 100
N_Zalazar     20 arg  1 17 10  6 30 100 700 314 305   2   0  142   0   0   0   0   2   1   0   0   0   0   0 100
Juan_Mercier  37 arg  1 16 20  3 30 100 556   9 315  19   0 1806   0   0   0  20  37   7   0   3   2   0   0  89
Robert_Piris  23 par  1 15 18  3 30 100 372 617 293  12   0 1082   0   0   0   6  13   1   0   2   6   0   0  93
Franco_Mussis 25 arg  1 13 20 13 30 100 378   3 372  17   0 1589   2   0   0   6  29  12   2   1   4   0   0 100
F_Quignón     24 arg  1 13 19 10 30 100 353  41 300  13   1 1190   0   0   0   4  19   7   0   1   3   0   0 100
Franco_Moyano 20 arg  1  8 17  9 30 100 300 700 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Belluschi   34 arg  1  2 20 18 30 100 294 966 519  18   0 1701   2   0   0   0  34  33   5   2   3   0   0  93
Alexis_Castro 23 arg  1  3 19 15 30 100 329 174 441  11   0  994   0   0   0   1  14  13   3   4   1   0   0  79
G_Gudiño      25 arg  1  2 19 16 30 100 278 118 459  17   0 1562   0   0   0   0  20  25   4   0   6   0   0  79
L_Romagnoli   36 arg  1  2 18 16 30 100 288 933 395  14   1 1280   2   0   0   0  18  15   2   1   1   0   0  96
Jonás_Acevedo 21 arg  1  2 17 15 30 100 300 400 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Blandi      27 arg  1  1  1 20 30 100 235 235 791  21   0 1935   0   0   0   0   0  43   3   0  10   0   0  79
Rubén_Botta   27 arg  1  3 17 19 30 100 322 379 996  17   0 1571   0   0   0   1   9  35   4   1   2   0   0  93
V_Viola       26 arg  1  1 10 19 30 100 288 302 259  11   1  853   1   0   0   0   2  29   7   0   6   0   0  96
B_Merlini     22 arg  1  1 17 18 30 100 318 339 936   6   1  391   1   0   0   1   7   6   1   0   0   0   0 100
J_Cavallaro   23 arg  1  1 15 18 30 100 286 328 927  10   2  841   1   0   0   0   6  15   4   0   2   0   0 100
N_Reniero     22 arg  1  1  3 18 30 100 300 300 801   1   1   52   0   0   0   0   0   1   0   0   0   0   0 100
N_Barrios     19 arg  1  1 16 18 30 100 300 300 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Conechny    19 arg  1  1 16 18 30 100 300 300 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Berterame   19 arg  1  1 14 17 30 100 300 300 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
