Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rodolfo_Cota  31 mex 19  1  1  1 30 200 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ant_Rodríguez 26 mex 18  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Jiménez     28 mex 17  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Torres      22 mex 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Salcido     38 mex  1 19  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Edwin_Hdez    32 mex  1 19 11  7 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jesús_Sánchez 29 mex  1 19 11  7 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Alanís      29 mex  1 18  1  1 30 100 850 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jair_Pereira  32 mex  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Marín       25 mex  1 17  1  1 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Basulto     26 mex  1 17  1  1 30 100 650 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Michael_Pérez 25 mex  1 15 17  2 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Cervantes   20 mex  1 15 17  2 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Pineda      22 mex  1 10 18  9 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Pizarro     24 mex  1  4 19 15 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javier_López  24 mex  1  2 18 16 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gael_Sandoval 23 mex  1  1 17 16 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mich_Benítez  22 mex  1  2 17 15 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alan_Pulido   27 mex  1  1  1 19 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Brizuela    28 mex  1  1 16 19 30 100 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Á_Zaldívar    24 mex  1  1  1 18 30 100 100 100 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Cisneros    25 mex  1  1 15 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Cisneros    21 mex  1  1  1 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
