Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  33 svn 23  1  1  1 30 612 100 100 100   1   0   96   0   9   3   0   0   0   0   0   0   0   0 100
J_P_Carrizo   33 arg 19  1  1  1 30 241 100 100 100   5   0  490   0  10   5   0   0   0   0   0   0   0   0 100
Andrei_Radu   20 rou 17  1  1  1 30 374 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       33 bra  1 22  1  1 30 100 474 944 974   6   1  302   0   0   0   5   0   0   0   0   0   0   0  70
C_Ansaldi     31 arg  1 21 12  7 30 100 407 611 304   1   0   96   0   0   0   0   1   1   0   0   0   0   0 100
L_Tonelli     28 ita  1 20  2  2 30 100 755 191 151   5   0  490   0   0   0  10   5   0   0   5   0   0   0  40
L_Antonelli   31 ita  1 20 12  6 30 100 515 616 228   6   0  586   0   0   0   5   6   0   0   5   0   0   0  28
Davide_Santon 27 ita  1 20 12  6 30 100 455 284  99   1   0   89   0   0   0   0   0   0   0   0   0   0   0  97
M_Andreolli   31 ita  1 20  1  2 30 100  29 892  11   5   5  195   0   0   0   5   0   0   0   0   0   0   0 100
D_D'Ambrosio  29 ita  1 19 10  6 30 100 820 139  27   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Sainsbury   26 aus  1 19  1  1 30 100 820 917 946   5   5  145   0   0   0   5   0   0   0   0   0   0   0 100
Gary_Medel    30 chi  1 19 21  1 30 100 683 592 964   1   0   96   0   0   0   2   3   1   0   0   0   0   0 100
T_Bakayoko    23 fra  1 17 21  2 30 100 339 193 963   1   0   59   0   0   0   1   7   0   0   0   0   0   0 100
Éver_Banega   29 arg  1  6 22 15 30 100 251 358 545   6   1  382   0   0   0   0  15   3   0   0   0   0   0  60
M_Brozovic    25 cro  1 13 21  8 30 100 460 774 248   6   0  586   1   0   0   5  24   2   1   0   1   0   0  28
R_Gagliardini 23 ita  1 14 20  6 30 100 163 369 108   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Mata     29 esp  1  2 22 20 30 100  75 225  13   1   0   96   0   0   0   0   2   5   0   0   1   0   0 100
A_Candreva    31 ita  1  2 20 19 30 100  29 918 937   6   0  586   0   0   0   0   3  12   0   0   5   0   1  28
Brahim_Díaz   19 esp  1  2 18 16 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_El_Shaarawy 25 ita  1  1 19 21 30 100 877 420 930   1   0   96   0   0   0   0   2   6   0   0   0   0   0 100
Gabriel_B     21 bra  1  2 17 21 30 100  18 118 242   6   0  549   0   0   0   0   5  13   1   0   0   0   0  34
G_Lapadula    28 ita  1  2  2 20 30 100 153  65 158   6   1  527   0   0   0   0   0   8   5   0   0   0   0  40
G_Simeone     21 arg  1  2 13 19 30 100 251 260 856   5   5  170   0   0   0   0   0   0   0   0   0   0   0 100
A_Pinamonti   18 ita  1  1  2 18 30 100 960  57  35  10   0  810   5   0   0   0  10  25  10   5   0   0   0  94
