Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  27 esp 24  1  1  1 30 766 100 100 100   1   0   96   0   3   0   0   0   0   0   0   0   0   0 100
J_Cillessen   28 ned 20  1  1  1 30 914 100 100 100   5   0  475   0  30  20   0   0   0   0   0   0   0   0 100
Jordi_Masip   29 esp 18  1  1  1 30 650 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  31 esp  1 22  2  2 30 100 728 123 167   6   0  391   0   0   0   7   0   0   0   0   0   0   0  58
Jordi_Alba    29 esp  1 22 13  7 30 100 450 854 381   6   0  571   0   0   0   1   8   2   0   0   0   0   0  28
M_Musacchio   27 arg  1 21  2  2 30 100 894 303 240   6   0  571   0   0   0   6   0   0   0   0   0   0   0  28
Joel_Matip    26 cmr  1 21  1  1 30 100 694 940 923   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dante         34 bra  1 21  2  1 30 100 164 110 955   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Chiriches   28 rou  1 20  2  2 30 100 352 178 164   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rick_Karsdorp 23 ned  1 20 12  6 30 100 246 586 550   1   0   96   0   0   0   1   1   0   0   0   0   0   0 100
H_Badstuber   29 ger  1 19  1  1 30 100 758 578 562   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Carmona 21 esp  1 18 11  6 30 100 650 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Busquets    29 esp  1 19 23  3 30 100 742 152 416   1   0   96   0   0   0   1   4   0   0   0   0   0   0 100
D_Pereira     26 por  1 19 21  2 30 100 478 627 176   5   0  475   0   0   0   5   0   0   0   0   0   0   0  40
Kevin_Stewart 24 eng  1 17 19  1 30 100  95 144 981   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago        26 esp  1  8 23 14 30 100 308  30 658   1   0   96   0   0   0   0   5   1   1   0   0   0   0 100
André_Gomes   24 por  1 14 22  7 30 100 335 251 353   6   0  571   1   0   0   0   4   2   1   1   1   0   0  28
Sergi_Roberto 26 esp  1 13 20  8 30 100 279 983 274   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bernardeschi  24 ita  1  2 21 19 30 100 132 545 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Silva       23 por  1  1 21 17 30 100 460 163 995   1   0   96   0   0   0   0   0   5   1   0   0   0   0 100
Lionel_Messi  30 arg  1  2 22 25 30 100 192  43 951   6   0  571   0   0   0   0   2  18   5   1   0   0   0  28
Paulo_Dybala  24 arg  1  2 19 23 30 100  50 358 786   6   0  554   0   0   0   0   0  13   1   0   0   0   0  30
Mauro_Icardi  25 arg  1  1  1 21 30 100 589 590 336   6   1  337   0   0   0   0   0   1   0   0   0   0   0  70
Ahmed_Musa    25 nga  1  2  2 19 30 100 181 356 786  25  15 1285   0   0   0  10  25   5   0   0   0   0   0  80
