Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    25 bel 24  1  1  1 30 175 100 100 100  20   0 1922   0 150  44   0   0   0   0   0   0   0   0 100
Keylor_Navas  31 crc 20  1  1  1 30 870 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Dragowski   21 pol 19  1  1  1 30 210 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Smalling    28 eng  1 21  1  1 30 100 570 900 922  14   1  965   0   0   0  16   0   0   0   0   0   0   0  41
Kurt_Zouma    23 fra  1 21  1  1 30 100 160 442 420  18   2 1504   0   0   0  40   0   3   0   0   2   0   0   0
D_Sidibé      25 fra  1 21 12  8 30  86  66 255  22  16   0 1440   0   0   0  17  21   4   1   0  45   0   1  10
Daley_Blind   28 ned  1 20 10  6 30 100 694 762 583  13   0 1256   0   0   0  14   4   4   0   0   0   0   0   0
G_Arana       21 bra  1 20 11  7 30 100 199 235 165  15   9  914   0   0   0  31   7   1   0   1   0   0   0 100
Kenedy        22 bra  1 19  9  4 30 100 397 691 512   6   1  503   0   0   0  10   2   1   0   0   0   0   0 100
Jorginho      26 ita  1 18 21  3 30 100 698 785 217  16   0 1548   0   0   0  15  23   2   0   1   0   0   0   0
T_Stepanenko  29 ukr  1 19 21  2 30 100 787  59 592  17  13  669   0   0   0  14  13   0   0   1   0   0   0 100
J-P_Gbamin    23 civ  1 19 20  2 30 100 659 100 590   5   0  472   0   0   0   6  12   1   0   0   1   0   0 100
Ander_Herrera 28 esp  1 13 22  8 30 100 645 238 507  16   0 1287   0   0   0   2  24   5   0  12  10   0   1  68
D_Drinkwater  28 eng  1 11 20  8 30 100 534 247 714  13   0 1169   0   0   0   3  34   4   2   0   0   0   0   0
Álvaro_Medrán 24 esp  1 12 19  6 30 100 878 708 686   4   0  332   0   0   0   3  10   3   0   1   0   0   0 100
Marco_Reus    28 ger  1  2 23 20 30 100 264 278 393   7   0  642   2   0   0   0  14  26   2   2   5   0   0 100
Willian       29 bra  1  1 21 20 30 100 372 292 478   7   0  533   0   0   0   0  20  14   2   0   0   0   0 100
G_Wijnaldum   27 ned  1  1 21 19 30 100 848 255 693   7   0  666   1   0   0   0  14  18   3   1   0   0   0 100
Victor_Moses  27 nga  1  1 19 16 30 100 387 431 912   7   6  281   0   0   0   0   2   3   2   0   0   0   0 100
C_Musonda     21 bel  1  1 19 17 30 100 398 285 786   4   0  374   1   0   0   0   4  13   3   0   0   0   0 100
R_Firmino     26 bra  1  1 16 22 30 100 875 425 444  18   2 1574   0   0   0   0  11  40   2   0  10   0   1  52
Timo_Werner   22 ger  1  2  2 21 30 100 129 256 160  16   1 1448   0   0   0   0   0  34  10   0  10   0   1  52
Pedro         30 esp  1  1 18 20 30 100 447 716 600  12   0  807   0   0   0   0  10   8   0   1   0   0   0  43
Rodrigo       27 esp  1  1  1 19 30 100 588 578 892  14  10  641   0   0   0   0   0  10   1   0  14   0   0 100
M_El_Haddadi  22 esp  1  1 17 19 30 100 613 855 189   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
